Name,Lyrics,Lyricist ,Singer,Genre,Music Composer,Metaphor,Interpretation
Susudu Rella – සුසුදු රැල්ල,"සුසුදු රැල්ල වැල්ලෙ පෙරලි ගීත ගයයි යළි යළි
යළි යළි යළි යළි
 සුසුදු රැල්ල වැල්ලෙ පෙරලි ගීත ගයයි යළි යළි
ම්  ම්  ම් ම්……අ අ ආ……… 
නැගී ආලෝකෙ දී 
කිණර කිඳා පාවි සිනා මුතු කොවුලා
ආදරේ ලෝකේ අමා 
තුලින් දකිමි සොඳුරු සිහින සමුදාය
හද අරණේ සිහිලස දී එන සුවඳ දැනේ යළි යළි
පියේ පා සිනා දයා 
ලඟාවී බලන්න ලැබූ වාසනාවෝ
ලොව්තුරෑ චේතනා මනා 
පල..දේ පිනකි පෙරදි සසර ආලෙසේ 
හද හදෙහී අත අතෙහී අද එකට වෙලයි යළි යළි
",George L Ranasingh,"Angelin Gunathilaka,H.R.Jothipala","Duets,Movie Songs",P.L.A.Somapala,metaphor,interpretation
Oba Nidanna – ඔබ නිදන්න,"ඔබ නිදන්න ඔබ නිදන්න සුවෙන් සෑතපිලා
ඉහ ඉද්දර මම ඉන්නම් පවන් සල සලා
පෙම්බරයන් පෙම්බරියන් වෙත කියු කතා
පවසන්නම් සොදුරියෙ මම ඔබට ගොත ගොතා
රුසිරු කොමල රුව රසදුන් උලයි මගෙ නෙතේ
ඉසුරුමුනියෙ පෙම් යුවලද කියා මට සිතේ
හිත මාගෙ හදුනාගත් පරමාදරියේ...
ඔබ වාගෙ සුන්දරියන් ඇත සීගිරියේ...
අපෙ ලොවට නවොදයෙ එලිය පාදනා...
අලුත් ඉරක් පායනු ඇත හෙට උදෑසනේ
",Karunarathna Abeysekara,H.R.Jothipala,,Milroy Dharmarathna,metaphor,interpretation
Oba Langa Inna – ඔබ ළඟ ඉන්න,"ඔබ ළඟ ඉන්න ළඟ ඉන්න මගෙ වාසනා
මා අමතන්න සනසන්න මගෙ වාසනා ...
රැව්දේ හඬ රැව්දේ සැතපී ඔබ මහදේ
රැව්දේ හඬ රැව්දේ සැතපී ඔබ මහදේ
ඔබ නැති නිවසක දැල්වෙන ලස්සණ
පහන් මොටද රන්වන්
සිහිණෙන් ඔබ එනවා සතුටින් පොපියනවා
සිහිණෙන් ඔබ එනවා සතුටින් පොපියනවා
ඔබ ගැන මතකය මතක තියාගෙන
මම තනිවම ඉන්නම්
",Karunarathna Abeysekara,H.R.Jothipala,"Movie Songs,Old Pops",Premasiri Khemadasa,metaphor,interpretation
Ninda Nena Rathriye – නින්ද නේන,"හෝ  හෝ හෝ හෝ……
නින්ද නේන රාත්‍රියේ මේ පාළු කාන්සියේ
පායා අරුන්දතී තරුවෙන් එන්න කාන්තියේ 
නින්ද නේන රාත්‍රියේ
කුමුදු කුමාරියේ ඔබ නිදනා යහන් තලේ
කවුළුව සමීපයේ මම ඉන්නම් පවන් දැලේ
ඉඳුනිල් නුවන් පියා සැතපෙම්
රෑ නිසංසලේ
අරුණෝදයේ ඔබේ නෙතු සඟළේ කැලුම් සලා
සූරිය පෙරම්බරේ දිනු අයුරින් සිනාසිලා
සෙනෙහේ විජිණි පතින් සනහන්
මට පවන් සලා
",Ajantha Ranasinghe,H.R.Jothipala,"Classics,Old Pops",Sarath De Alwis,metaphor,interpretation
Mage Mathake Obe – මාගෙ මතකේ,"මාගෙ මතකේ ඔබේ රුව ඇඳේ
සුහද මා ජීවිතේ ඔබ සතුයි
ඔබේ සුවඳ මනමත් කරයි
ඔබ මා හදේ සැරිසරයි 
ඈත එපිටින් ඔබේ ඇසෙන පෙම් ගීතයයි
සීත සඳපානෙ කිරි සයුර කලතා සොයයි
මහද කවුළු දොරින් එන්න සුහදේ ඔයා
ජීවිතේ ආදරෙන් ඉන්න මට ළංවෙලා
සීත සුළඟක් හමා පැතුව පැතුමන් ගෙනා
ඈත භවයේ පටන් පැතුම ලෙස ළං කලා
ඕලු මානෙල් පිපී සුවඳ පිණි හා වෙළී
සොඳුර ඔය මුහුණ මීදුම් සේලෙන් වැසී
",Leelananda Gunawardhana,"H.R.Jothipala,Sujatha Attanayaka","Duets,Movie Songs",J.A.Dodangoda,metaphor,interpretation
Nidi Nethi Ra Yame – නිදි නැති රෑ යාමේ,"නිදි නැති රෑ යාමේ සීතේ සීතේ සීතේ
සුමියුරු වේ මාගේ ගීතේ ගීතේ ගීතේ
සවන් සැනසේවා රාව පැතිරේවා
සැවොම තුටු වේවා වාසනා වේවා
ගී පොත මා සතු වේවී ලොව ගී රජදහනක් වේවී
මී විත පිරි ඉතිරේවී ඔබ ඒ මිහිරෙන් නැළවේවී
සිතට කොඳුරා  ඔබට කියනා රහස ගීය තමා
පාළුව ඈතක පාවී සහනේ සැනසුම හිමි වේවි
මේ ලෙස කාලය යාවී අද රෑ ගතවී එළි වේවි
අදද තිබෙනා  හෙටද ලැබෙනා සතුට ගීය තමා
",Hemasiri Halpita,H.R.Jothipala,Old Pops,Sarath De Alwis,metaphor,interpretation
Gedara Hitiya Rosa – ගෙදර හිටිය රෝසා,"ගෙදර හිටිය රෝස කැකුල රෝසා 
ඔමරි පොමරි දාපු මුකුළු රෝසා
අපිත් එක්‌ක හරි යාළුයි රෝසා
රෝසා නැතුව ගේ පාළුයි රෝසා
මල් මී පැණි සේරු සේරු පෙම් මදිරා සාරු සාරු
බීලා මොටද රෝසා නැතුව රෝසා
දෑතට දී වාරු වාරු ගඟ මැද ඔරු පාරු පාරු
පැදල මොටද රෝසා නැතුව රෝසා
උණට කොත්තමල්ලි දුන්න රෝසා
සෝඩා ටොනික්‌ කඩෙන් ගෙනා රෝසා
අපිත් එක්‌ක හරි යාළුයි රෝසා
රෝසා නැතුව ගේ පාළුයි රෝසා
සුවඳ සබන් ගාපු ගාපු ගාල නාල ආපු ආපු
පුසුඹ ගහපු රෝස නොන රෝසා
කොණ්‌ඩෙ කඩන් පීරු පීරු රැජිණට අපි තේරු තේරු
රෝස කැකුළ කොහිද ගියේ රෝසා
",Dharmasiri Gamage,"H.R.Jothipala,M.S.Fernando",Movie Songs,Premasiri Khemadasa,metaphor,interpretation
Etha Dilisena – ඈත දිලිසෙන,"හෝ…හෝ හො  හෝ…හෝ හෝ හෝ….
ඈත දිලිසෙන හිරු සඳු රන්තරු
රහසේ කීවා මට ඔබ ගැන තොරතුරු
මගේ නෙත් යුග මතු පියවෙන තුරු
ආදරෙයි මා ආදරෙයි
ළා තණ නිල්ලේ… පිණි කඳුළැල්ලේ
මා ඔබ දුටු ඒ ප්‍රේම ලෝකේ
දෑස දෑසක් සොයා තනි වූ දිනේදි 
මධු සඳ රැල්ලේ සතුටු සඳැල්ලේ
වාසනාවේ අමිල උදාවේ
සීත සුළ‍ඟේ වෙලී මතු හමුවුණාවේ
",Premakeerthi De Alwis,"Angelin Gunathilaka,H.R.Jothipala","Duets,Golden Pop,Old Pops",P.L.A.Somapala,metaphor,interpretation
Durakathanayakin – දුරකතනයකින්,"දුරකතනයකින් මම ඔබ අමතමි
හමුවිය නොහැකි නිසා
මගෙ හිත හදුනන ඔබ පිලිගත්තද
ඇතැමුන් කියන මුසා
සයුරට රල මෙන් වෙරලට වැලි මෙන්
අප බැදිලා උන්නේ
තොටුපොල හැර යන නෞකාවක් මෙනි
ඔබ ඇදිලා යන්නේ 
මට තව මතකයි මගෙ මුල් ගීතයේ
තනුව කියා දුන්නා
යන තැන නිරතුරු පහනක් අරගෙන
පසුපස පිය මැන්නා
ඔබමයි ආවේ ඔබමයි යන්නේ
මා ඒතැනම එහෙමයි
නිදුකින් ඉනු මැන ඔබ සතුටින් නම්
මගේ සතුටද එයමයි…
",Unknown,H.R.Jothipala,Old Pops,Milroy Dharmarathna,metaphor,interpretation
Dothin Dothai – දෝතින් දෝතයි(කුරු කූ),"දෝතින් දෝතයි ජීවෙන් ජීවෙයි ජය මංගල හඬ දෙයි
කුරු කූ   කුරු කූ  කුරු කූ   කුරු කූ  
කුරු කූ   කුරු කූ  කුරු කූ
ලෝකෙම සුවඳයි ඒ පෙම් සුවඳයි මංගල මල් පිබිදෙයි
කුරු කූ   කුරු කූ  කුරු කූ   කුරු කූ  
කුරු කූ   කුරු කූ  කුරු කූ
සෙවනැලි සීතල ලිය ගොමුවේ අපටයි සුභ පැතුවේ
සුදු මල් පෙති සලිතව සැලුනේ අපටයි ඉඟි මැරුවේ
එක පොඩි රහසේ රස දහසක් වේ රස උතුරන වයසේ
කුරු කූ   කුරු කූ  කුරු කූ   කුරු කූ  
කුරු කූ   කුරු කූ  කුරු කූ
සසරේ ජීවන සහ කරුවා පැතුසේ මෙහි ආවා
නාඹර සිතිවිලි පල දැරුවා නැඹුල් මල් නෙලුවා
සන්සුන් ගමනක වන්හුන් දැක දැක ජය පිට ජය පැතුවා
කුරු කූ   කුරු කූ  කුරු කූ   කුරු කූ  
කුරු කූ   කුරු කූ  කුරු කූ
",Cyril A Seelawimala,"Angelin Gunathilaka,H.R.Jothipala","Duets,Movie Songs",T F Latif,metaphor,interpretation
Dolos Mahe – දොළොස්මහේ පහන,"දොළොස්මහේ පහන වාගෙ පැලට එළිය දුන්න
මවයි පියයි සනස්සමින් සන්තෝසෙන් ඉන්න
අරුන්දතිය මල්ලි මොටද ගමන් බිමන් යන්න..
අදින් පසුව මේ පාරෙන් ඔබ තනියම එන්න
මල් නෙලලා මල් ගොතලා මාල පළන්දන්නම්
වැල්ල දිගේ කැලැවේදි අඹ කඩලා දෙන්නම්
රැල්ල කපා ගඟෙන් එගොඩ ඔරුවේ ගෙන යන්නම්
චිල්ල මලේ ඔන්චිලි චිලි ඔන්චිලි පදවන්නම් 
වෙසක් මාසෙ දොසක් නොමැති නැකතක් තෝරනවා
තොරණ් බැඳල රබන් ගහල ගෙට කැන්ඳන් එනවා
කැවුම් කෙසෙල් කිරිබත් ගෙන ජයට මඟුල් කනවා
එයින් පස්සෙ ඔබ වෙනුවෙන් මා ජීවත් වෙනවා
",Dharmasiri Gamage,H.R.Jothipala,Old Pops,Unknown,metaphor,interpretation
Diya Podak Wemin – දිය පොදක් වෙමින්,"දිය පොදක් වෙමින් තොල් වියලෙන පිපාසෙට
නුග රුකක් ලෙසින් උතුරා යන විඩාවට
පිපි මලක් උනා මල් නොපිපුණු තටාකෙට
ඔබ අගෙයි ළඳේ හෙට අදටත් වඩා මට
අරුත් සුන් වදන් පවසන ගිරවු දොඩමලු
හෙටත් නගපුදෙන් ඔය කිචිබිචිය සුළු සුළු
තිගැස්සී සැනින් ඔබ විය යුතුද බියගුළු
දකින්නට ලැබෙයි අපටත් සිසිල අරුණළු 
ඔබේ ප්‍රිය වදන් පුදදෙන සහන සිතිවිලී
අරන් එයි පෙරන් අපමණ සුවය සැනසිලී
සුගන්ධය ලෑබූ දින ඇත අවට වෙලි වෙලී
මගෙන් රන්මලී කුමටද සැලෙන තරු එලී
",Karunarathna Abeysekara,H.R.Jothipala,"Classics,Golden Pop",Sarath Dasanayaka,metaphor,interpretation
Diya Kinduriya Se – දිය කිඳුරිය සේ,"දිය කිඳුරිය සේ සාගරේ දෝතින් ගෙන ආ ආදරේ
මහද විමනේ ආල සිතුවම් රුවන් රූ පිලිරූ මැවේ
කිව මැන ඔබ කව්දෝ ලදේ...
දේහ ලතාවේ රූසිරු වරුනේ 
නොදැනී මේ නෙත යාවෙලා
දිගුනිල් වරලේ නිළුපුල් නයනේ 
සැගවේවා අද පාවෙලා
මිනිදැල් පරදා හසකැන් නැගුනා 
පෙම් ඇරයුම් ගෙන ආ නිසා
මනසේ ඇදුනා‍ දෙනෙතින් මිදුනා
සිහිනය සේ නොපෙනී ගියා
මේ දිවි ගමනේ රන් ටැඹ ඔබවේ 
උපදින සසරේ වාසනා 
දෙදෙනා හමුවී පෙරදා සසරේ 
උන්නා සේ මට ලංවෙලා
සුපුරුදු සුවඳයි ඔබ ලඟ රැදුනේ 
කව්රුන්දෝ මේ රූපිකා
හිරුදැක දිලෙනා පිණි මල වාගේ 
ඔබ ඇසුරෙන් වෙන්වී නොයා
රෑ තනි ඉවුරේ ඈත ඉසව්වේ 
දෙදෙනා යමු පෙම් චාරිකා
තනිවෙමු ඔබ මා මේ සැණකෙලියේ 
ඔබ‍ටයි මේ පෙම් ගීතිකා
",Upali Dhanawalawithana,H.R.Jothipala,Movie Songs,Sarath De Alwis,metaphor,interpretation
Dili Dili Dilisewi – දිලි දිලි දිලීසේවි,"දිලි දිලි දිලීසේවි ‍මා දෑසෙ ආලෝකෙ
කව්දෝ මාන බලන්නේ ඔබ ලඟ මා ඉන්නේ
හිතවත මේ ලෝකේ බොරුවෙන්ද ජයගන්නේ
සතුරා සමඟ සිනාසී මිතුරා සේ ඉන්නේ
ඇස්බැන්දුමක් වාගේ මේ ලෝ තලේ
මොහොතින් බිදී යාවී සිතු සෑමදේ...
අපගේ සිහින පාරුවේ පාවී
සයුරේ ඈත ජීවිතේ යාවී..
මල් වර වී යෞවනේ සල් වනේ ආදරේ 
කව්දෝ මවා පාන මායාවකි
ඔබගේ ලගින් ඉන්නෙ ඡායාවකි
ඔහුගේ දෑස ඔබ සොයා යන්නේ
සැගවූ රහස නැ ප්‍රෙමේ දන්නේ
මල් වර වී යෞවනේ සල් වනේ ආදරේ 
",Siri Nihal Jayasingha,H.R.Jothipala,Movie Songs,Sarath De Alwis,metaphor,interpretation
Chandra Me Re – චන්ද්‍රා මෙ රෑ පායා,"චන්ද්‍රා මෙ රෑ පායා ආවා හර්දේ පෙමින් නාව නාවා
මේ ආදරේ වාසනාවන්….. දුක් වේදනාවන් නිවේවා 
ඔබගේ සිනාවෙන් මුළා වී මේ රෑ පවා මල් පිපේවී
රන් තාරකාවෝ සිනා සී ප්‍රේමේ අමා ගී ගයා වී
ආශාව ආවාද මෝරා හැමදාම ඔබ මාගෙ වේවා 
සතුටයි සැපයි ඔබය මාගේ ඔබ පෙම්වතී පෙම්වතාගේ
සතුටයි සැපයි ඔබය මාගේ ඔබ පෙම්වතී පෙම්වතාගේ
අරගන්න ඔබෙ දෑත හුරතල් දෛවේ මගේ පිහිට වේවා
",Hurbet M Senevirathna,"H.R.Jothipala,Sujatha Attanayaka","Classics,Duets,Movie Songs",R.Muththusami,metaphor,interpretation
Dakina Dasune – දකින දසුනේ,"දකින දසුනේ දෙනෙත ඇඳුනේ 
සොඳුරු ඔබෙ රුව වේ
පවනෙ ඇසුනේ සවන රැඳුනේ 
ඔබගෙ කට හඬ වේ
ඔබගෙ කට හඬ වේ
මහද විමනේ කැකුළු යහනේ 
ඔබයි සැතපෙන්නේ
සිතන සිතුමේ පතන පැතුමේ 
ඔබයි හිනැහෙන්නේ
ඔබයි හිනැහෙන්නේ 
දෙපස ගංගා දෙකකි එක්වී 
එක තැනට ආවේ
එකම ඒ ගං ජලය මුසුවී 
සයුර තුළ පාවේ
සයුර තුළ පාවේ
",Karunarathna Abeysekara,H.R.Jothipala,Movie Songs,T F Latif,metaphor,interpretation
Chandana Allen – චන්දන ඇල්ලෙන්,"චන්දන ඇල්ලෙන් නාලා…  අංජන මල් මී ගාලා 
හැංගුණ බඹරා ආවා  ලස්සන රහසක් කීවා
චන්දන ඇල්ලෙන් නාලා
මලට මුවා වී ඉන්නේ  මල් පෙති යට සැඟවෙන්නේ
හදකට තුරුළු ව ඉන්නේ  ලෝකය නෑ එය දන්නේ
දහසක් නෙත් යොමු වන්නේ  එනමුදු නෑ හඳුනන්නේ 
ඇසිපිය යට සැඟවෙන්නේ  සිහින ලොවේ හමු වන්නේ
එක කුසුමකි පිබිදෙන්නේ එක වන බඹරෙකි ඉන්නේ
දෙබරුන් සේනා එන්නේ වෙනසක් නෑ සිදුවන්නේ
",Dharmasiri Gamage,H.R.Jothipala,"Golden Pop,Movie Songs,Request",Galagedara M.M.A.Huk,metaphor,interpretation
Bambara Wage Atha – බඹරා වගේ ඇත,"බඹරා වගේ ඇත තවම විසේ 
සල්ලි නැතේ මට විස්‌කි නැතේ 
යාළුවෙලා සිටි අය නැතේ  
වැටී ගියත් අප එකා වගේ 
ගල්මුල් ආවත් බය නෑ බය නෑ   
අපට හිතට දුක නෑ
පැතුම් සැබෑ වෙන ජී…විතේ  
අළුත් දසුන් නව ලොවින් මැවේ 
මා යන ගමනේ බැමි නෑ  බැඳුනේ 
ගිමන් පවස නොදැනේ
",George L Ranasingh,H.R.Jothipala,Movie Songs,Sarath Dasanayaka,metaphor,interpretation
Awa Soya Adare – ආවා සොයා ආදරේ,"රන් මසුරන් කිරි ගරුඬ තලාවක 
හැලෙන හදින් ඔබ අමතන්නේ
පායුග එසවෙනවා මා ඔබ වෙත එනවා
ආවා සොයා  ආවා සොයා 
ආවා සොයා ආදරේ
දෙසවන් වැසුවද දෙනුවන් වැසුවද 
ඔබෙ හඬ ඔබෙ රුව මට සිහිවේ
හිනැහී ආකාසේ දිනිදා නැගෙනා සේ
ආවා සොයා  ආවා සොයා 
ආවා සොයා ආදරේ
ලස්‌සන මල් දහසක්‌ අතරෙන් 
ඔබගේ දසුන පෙනෙයි
කුංකුම චන්දන සුවඳ මැදින් 
ඔබගේ සුවඳ දැනෙයි
මා ලයේ  කුළුදුලේ 
අනන්ත හැඟුම් මැවේ
කල්ප ගණන් එකතුව උන් සේ 
නිරතුරු මට වැටහේ
අල්පයකුදු ඔබ ලඟ නැතිනම් 
කල්පය ලෙස තේරෙයි
ජීවිතේ මිහිරි බැව් 
හැඟෙන්නෙ ඔබෙන් තමයි
",Karunarathna Abeysekara,"Angelin Gunathilaka,H.R.Jothipala","Duets,Movie Songs",P.L.A.Somapala,metaphor,interpretation
