Name,Lyrics,Lyricist ,Singer,Genre,Music Composer,Metaphor,Interpretation
Rosa Kusumak Pipee – රෝස කුසුමක් පිපී,"රෝස කුසුමක් පිපී…………නොවිඳි සුවඳක් දැනේ
නොලද සුවයක් සදා පුබුදුවා
සුවහසක් පැතුමන්
රෝස කුසුමක් පිපී
මා අවදිකර යහනින්
ඔබ එබී හිනැහේ කවුළුවෙන්
කියා රහසක් සැළෙන දෙතොලින්
නොනැඟෙනා වදනින්
නොහැඟෙනා අරුතින්
ඔබේ සුවඳ ලද මොහොතින්
මා වෙලා සිටි ඒ ආදරෙන් ...
මගේ තනිකම හඬයි ඉකිබිඳ
දෙපාමුල හැපෙමින්
වසා මුව දෝතින්
",Kumaradasa Saputhanthri,Sunil Edirisinghe,New Pop,Sarath De Alwis,metaphor,interpretation
Pura Poya Handata – පුර පෝය හඳට,"පුර පෝය හඳට පෙමින් බැඳුනු තාරකා ළඳුන්
ගී හඬින් කියන පෙම් කතාව අසාගෙන වරෙන්
නීල වළාවේ
ඇගෙ පෙම් කතාව අසාගෙන වරෙන්
මුතු මාල පොටක් ගෙලේ බදින දා
සිත කොල සිතුම් එබී බලන දා
රෑ නින්ද නැතිව හීන දුටුව දා
හිත ආදරයක බැඳුනි ද මන්දා
රන් තොරණ සැදී මඟ සරසණ දා
හඳ රබන් සුරල් හඬින් වැයෙන දා
නෑ හිත මිතුරන් හිනා පුරන දා
හිත ආදරයක බැඳුනි ද මන්දා
",Sunil R Gamage,Sunil Edirisinghe,Old Pops,H.M.Jayawardhana,metaphor,interpretation
Pata Dedunu – පාට දේදුනු,"පාට දේදුනු සේදිලා ඈත කඳු යායේ
සීත ‍රෑ සඳ පීදිලා
නීල තරු යායේ නීල තරු යායේ
ඈ ලවන් තෙරේ සෝ ගී සුසුම් නැඟේ
මීදුම් වලා ලෙසින් පාවී ඈතින් හැපී බිඳේ
මා නුවන් දියේ පීනා නැගෙන් සඳේ
පායා දුරින් ඇදී ඈ මෙන් පාවී නොයන් සඳේ
",Kumaradasa Saputhanthri,Sunil Edirisinghe,New Pop,Rohana Weerasingha,metaphor,interpretation
Pinibara Yame – පිණිබර යාමේ,"පිණිබර යාමේ සැවුලන් හඬලනවා
අම්මා වටකර ලිප ගිනි මැලවෙනවා
කොළඹ රේල්ලුව රජ ගමනක එනවා
නැගිටින් පුතුනේ බිම්මල් හිනැහෙනවා
පුතුනේ අකුරට යන්න පමාවී
ගුරු සිත රිදිලා වේවැල් හඩවාවී
ගඟේ ඇලේ පැන තෙප්පම් පැදලා
මුරණ්ඩු වුදා.... දුක්වේවී අම්මා
වේල දෙව්ලේ කුසගිනි නොබලා
කඩමලු ඇන්දත් පින්කඳ බැබලෙනවා
කලට රුවන් වැසි වස්සන කාලේ
ශිල්ප උගත් දා... නුඹ සක්විති වෙනවා
",Lushan Bulathsinhala,Sunil Edirisinghe,"Classics,Old Pops",Victor Rathnayaka,metaphor,interpretation
Pana Mada Kadithi – පැන මඩ කඩිති,"පැන මඩ කඩිති වැව් තාවලු වැහි කාලේ
පෙන්නා මග නොමග නොවැටී යන තාලේ
සිප් කිරි පෙවූ මූසිලයින් උඩු මාලේ
අපෙ ගුරුතුමා යයි තාමත් ඉස්කෝලේ
සාමා අමර විකුණති බස් පොළේ කජු
කුමාරෝද පිටු දන් දෙති එයින් මතු
උගත මනා ශිල්පය පිල් කඩ නොපැතූ
වේවැල වටා ඉකිබිඳ දඬුවමක් පැතූ
රන්මසු පටපිළී අබරණ උරණ වෙලා
සමන්පිච්ච කැකුළිය ගෙයි මිලින වෙලා
ගුරු නිවහනේ කඳුලට උල්පතක් වෙලා
ලොකු හාමිනේ ඇත බිතු සිතුවමක් වෙලා
",Mahinda Chandrasekara,Sunil Edirisinghe,Classics,Rohana Weerasingha,metaphor,interpretation
Kandulu Denna – කඳුළු දෙන්න,"කඳුළු දෙන්න මට හඬන්න
සත් සමුදුරු ගොඩ ගලන්න
සුසුම් දෙන්න මට හෙලන්න
සක්වල ගල සසල වන්න
හිත උපන්න ආලවන්ත 
ඒ රුව කෝ මට කියන්න
මගෙ තනියට මා පමණයි 
ඇය එවන්න මා බලන්න
ලිහිණියනේ පියාඹන්න 
ඇය ඇති තැන සොයා යන්න
මා මිය යන බව පවසා 
ඇය එවන්න මා බලන්න
",Kumaradasa Saputhanthri,Sunil Edirisinghe,Old Pops,Rohana Weerasingha,metaphor,interpretation
Ran Malak Lesa – රන් මලක් ලෙස,"රන් මලක් ලෙස දෙව් බබුන් 
දෝතින් පිදූ මේ පින් බිමේ
පස් පිඩක් ගිලිහී නොයන්නට 
රන් වැටක් ඇත සිව් කොනේ
නෙත් පුරා එක හීනයෙ මුළු 
ලෝකයා නිදනා රෑයේ
දේශයේ මුර දේවතා එළි 
රෑ පුරා දැල් වී තියේ
ලෙහි හොවා වැඩු සිය පුතුන් අත 
අවි දාර වැද රණ මතින්
පෑ විකුම් දැක දෑ බැතින් මිස 
අත් මුදුන් දෙති පිය වරුන්
මව් බිමේ හිමිකම් පතා තම 
දිවි පිදූ කල ඒ පුතුන්
තුන් හෙළෙ හැම මව්වරුන් ලය 
කිරි එරී ඇත උන් නමින්
මව් කුසින් නොව මිහි කුසින් සිරි 
ලක උපන් විරු දරුවනේ
අපි ඔබෙන් නව පන ලබා මෙහි 
යලි උපන්නෙමු අද දිනේ
නෑසියන් සොයුරන් ඔබෙ අද 
දූ පුතුන් හැම මේ බිමේ
හදවතින් අපි යුධ බිමෙහි ඔබ 
තනි කලේ නැත කිසි දිනේ
",Kumaradasa Saputhanthri,Sunil Edirisinghe,Inspirational,Rohana Weerasingha,metaphor,interpretation
Handana Pana Nala – හඬන පණ නල,"හඬන පණ නල යදින සැනසුම
දැවී යයි හද චිතකයේ
කඳුළු බිඳුවක සිසිල පමණකි
වියළි කතරට හිමිවුණේ
යොවුන් සිතිවිලි විපිලිසර වී
මහළු ලොව තුල මිය ඇදේ
සයින් පීඩිත හඬන සුරගුරු
යදී සිඟමන් මාවතේ
රකුසු පියසක පිපුණු කුසුමට
මලවි හමුවන පින නැතේ
දෑස නැති විට නුහුරු මං පෙත
සරණ පා යුග පටලැවේ
",K.D.K.Dharmawardhana,Sunil Edirisinghe,Movie Songs,Lakshman Wijesekara,metaphor,interpretation
Kale Pan Etha – කලේ පැන් ඇත,"කලේ පැන් ඇත නැවුම් රහ නැත
මොකද මන්දා ලිඳට වූයේ
පුළුස්සා ගත් රොටිය කර වී
මොකද මන්දා ලිපට වූයේ
හදා ගත් ලුණු මිරිස රහ නැත
මොකද මන්දා දිවට වූයේ
සැලේ ගහ කොළ සුළඟ ඇත එද
සිහිල කොයි අත ගියාදෝ
කෝල බව මුසු සිනා හඬ නැත
සවන් බිහිරිව ගියාදෝ
පුරුදු නිවහන නුහුරු වී නම්
කාට මේ ගැන කියන්නෙම්
කාට මේ ගැන කියන්නෙම් මම
බිරින්දෑ නෑ ගම් ගොහින් 
බිරින්දෑ නෑ ගම් ගොහින්
බිරින්දෑ නෑ ගම් ගොහින්
",K.D.K.Dharmawardhana,Sunil Edirisinghe,,Rohana Weerasingha,metaphor,interpretation
Hindivi Kothanaka – හිඳීවි කොතැනක,"හිඳීවි කොතැනක හෝ
හිමි කාරයා උපන් නුඹේ නමින්
වඩීවි කෙදිනක හෝ
ඒ එනතුරා හිත හදාගෙන ඉඳින් …
ගඟකට සයුරක් මුණ ගැසේවී
රළකට වෙරළක් මඟ හිඳීවී ...
නියඟට වැස්සක් ඇද හැලේවී
නුඹටත් කෙනෙක් හිඳීවී
දවසක සොයාන ඒවී
අකුලක පිපෙන නැවුම් මලක් සේ
නදියක නැගෙන තරංගයක් සේ ...
නළලත සිඹින පවන් රොදක් සේ
නොසිතුව විටෙක ළඟාවී
නුඹ විඳි අඳුර නිවාවී
",Kularathna Ariyawansa,Sunil Edirisinghe,"Golden Oldies,New Pop",Rohana Weerasingha,metaphor,interpretation
Hade Kothanaka – හදේ කොතැනක,"හදේ කොතැනක හෝ හිඳී ඔබ
නිදා නොනිදා මෙන්
බලා අවසර සොයා කල් දැන
වෙලා හස රැහැනින්
පෙළයි මා මුදා සුව දැහැනින් 
සයුර ඉම රත් සිතිජ රේඛාවේ
මියෙන හිරු සේ ගිලී ගිම් අඳුරේ
තලා මා සිත පලා ගිය ඔබ
දවයි මා….හද තනිවෙනා මොහොතින්
උතුම් පිවිතුරු ප්‍රේමයේ නාමෙන්
සහස් සුවහස් පැතුම් බල මහිමෙන්
ඉනූ කඳුලද සිඳෙන්නට පෙර
යදින්නම්…. ඔබ මැකී යනු මතකෙන්
",Kumaradasa Saputhanthri,Sunil Edirisinghe,,Rohana Weerasingha,metaphor,interpretation
Hada Parana Rudu – හද පාරනා රුදු,"හද පාරනා රුදු වේදනාවන්
කුරිරු වූ ලෝකෙන්
නැගෙනා පැයේ නොසැලී හිඳින්නම්
මා සිනා දෑසින්
තනිව නැගෙද්දී පෙරට ඇදෙද්දී
මාවත අවුරණ ලොවක මෙසේ
තනිවූ දෙපයින් ජීවිතයේ
බාධක දිනන්නෙමි
පහර වදිද්දී සැවොම රිදුම් දී
ඒ සිත හඬවන ලොවක මෙසේ
තනිවූ දෑසින් යායුතු වූ
මාවත දකින්නෙමි
",Kularathna Ariyawansa,Sunil Edirisinghe,"New Pop,Request",Sarath De Alwis,metaphor,interpretation
Hise Gini Awilethe – හිසේ ගිනි ඇවිලෙතේ," හිසේ ගිනි ඇවිලෙතේ පසේ බුදුවරු නැතේ
 ඇසේ තෙත ඇත හිතේ පිසින්නේ කවුරුදෝ
කඳුළු දනව්වේ උල්පතින්
හඬන හැඬුම් ගංගා ගලා
ඒ ඉවුරේ මෙසේ
ඒ ඉවුරේ මෙසේ
 ලොවේ අය දිව යතේ
යුගෙන් යුගේ අත් වැල් බැඳී
යදම් වැලක් විලසින් ඇදී
නෑ නිවුණේ සදා
නෑ නිවුණේ සදා
මිනිස් කම මෙදියතේ
",Premakeerthi De Alwis,Sunil Edirisinghe,Classics,Victor Rathnayaka,metaphor,interpretation
Eka Yaye Kaka – එක යායේ කකා,"එක යායේ කකා වැටී එකා වගේ එකට ඉදී
එක පවුලේ උපන් ලෙසේ කල ආරක්ෂා
නාස් ලනුව දමනවාලු කරත්තයක බදිනවාලු
අපට හිටිය ලපටි කැකුළු නාඹර වස්සා 
ගෙට ආකල ටිකිරි ලියා නුඹ වේවිලු කබරගොයා
ලිදට ගියත් අවසරයක් ගන්නට වේවී
දල ගලවා අතේ තියා නුඹ නටවයි ඒ ළමයා
පනවාලා දරුණ දණ්ඩ බන්ධන නීති
වලට වැටුනු එකායකා වලටම ඇදගනු මිසකා
වලෙන් උඩ ට එන්නට අත දෙන්නට කැමති
නෑදෑහිතවතෙක් නැති ඒගැන හිතුවොත් යෙහෙකි
කසාදෙ නම් කසාය හරි තිත්ත බෙහෙතකි
",Premakeerthi De Alwis,"Bandula Wijeweera,Edward Jayakody,Sunil Edirisinghe",Movie Songs,H.M.Jayarathna,metaphor,interpretation
Epa Yali Hamuwanna – එපා යළි හමුවන්න,"එපා යළි හමුවන්න ජීවිතේ ගමන් මඟ
ඔබෙන් මට උරුම වූ වේදනා කඳුළු ගඟ
හිරු සිනාසෙන ලොවක පැතුම් මල් දෙවැට ලඟ
ඔබේ ජීවන සුවඳ අරන් ඈතට යන්න
සංසාර ගමන් මඟ සෙනෙහස සොයා දිනක
ආ ගමන නිමා කල ඔබේ හදවත ගාව
සෙනෙහසේ අවසාන කඳුළු බිඳුවක පහස
ගලා යයි අතීතේ මිය ඇදුණු සොහොන ලඟ
ඔබ මවෙත තිළිණ කල ඔබේ බැතිබර සුවඳ
මගේ මතකය වසා සදා කල් රැඳෙනු ඇත
සංසාරයේ යළිදු නවාතැන් සොයායන
මගේ මළගමදාට ඇවිත් යන්නට එන්න
",Dishan Nanayakkara,Sunil Edirisinghe,Current Songs,Karunarathna Wijewardhana,metaphor,interpretation
Duwe Numba mage – දුවේ නුඹ මගෙ,"දුවේ නුඹ මගෙ ප්‍රාණයයි
සැබෑ වුණ සුබ සිහිනයයි
සෙනෙහසින් කුලගෙට පියනගන්නේ
සනුහරේ අභිමානයයි 
මං මලක් ලෙස නුඹ නොහැදුවේ
පෙති හැලී පරවෙන නිසාමයි
දුක දිනා හිනැහෙන හැටි දුවේ
නුඹ දැන උගත් පාඩම තමයි
මිල මුදල නිල බල යා නොදෙයි
මිල මුදල නිල බල යා නොදෙයි
කළ හොඳම විතරක් ඉතිරිවෙයි 
කළ හොඳම විතරක් ඉතිරිවෙයි
අප මී මුතුන් මිත්තන් එදා
සිය ලේ කඳුළු දහදිය පුදා
පරපුරෙන් පරපුරට රැගෙන ආ
ඒ ගෞරවය මගෙ දුව තමා
නුඹ යන්නෙ හිස් දෑතින් නොවේ 
නුඹ යන්නෙ හිස් දෑතින් නොවේ
ගෙනියන්නෙ ඒ අභිමානයයි 
ගෙනියන්නෙ ඒ අභිමානයයි
",Bandara Ahaliyagoda,Sunil Edirisinghe,"Classics,Inspirational,New Pop",Rohana Weerasingha,metaphor,interpretation
Devani Budun Lesa – දෙවැනි බුදුන් ලෙස,"දෙවැනි බුදුන් ලෙස ලොවම උවම් කල
ලොවක පිදුම් ලද ලොවට උතුම් ලඳ
අම්මා... අම්මා...අම්මා
දෙසවන් සනහා මා නැලවූ ඔබ
මියුරු මියැසියේ අරුත කියා දුනි
ඒ මියැසිය අද මා ගයනා විට
මා සිපගන්නට ඔබ මා ලඟ නැත
අම්මා... අම්මා...අම්මා
ඇසට හඬන්නට කඳුලැලි දුන් ඔබ
ලතැවුල් දරනා දිරිය ලබා දුනි
ඒ දිරියෙන් ලොව ජය ලබනා විට
මා සිපගන්නට ඔබ මා ලඟ නැත
අම්මා... අම්මා...අම්මා
",Sunil Ariyarathna,Sunil Edirisinghe,"Classics,Inspirational",Rohana Weerasingha,metaphor,interpretation
Dewedi Dennata – දෑවැදි දෙන්නට,"දෑවැදි දෙන්නට රන්මසු පොදි නැති
ගෙදරට බර වුණු බාල නඟේ
නුඹ ගෙනියන්නට ගමෙත් කෙනෙක් නැහැ
රටෙත් කෙනෙක් නැහැ බාල නඟේ 
විරසක වීලා විරහ අපලයෙන්
නුඹෙ ඉරණම නුඹ ළඟට නොයේ
නිදිබර දෑසයි දැලි ගෑ මුහුණයි
ලිප මුල්ලේ යෞවනය ගෙවේ
රන්දම් පැලඳිය යුතු ගෙල වටකර
නවගුණ වැල පෝ දිනට බැඳේ
දීගෙක ගියදා නුඹට දැනේවී
තනිකඩකම කොච්චරද අගේ
",Premakeerthi De Alwis,Sunil Edirisinghe,Old Pops,Rohana Weerasingha,metaphor,interpretation
Chandra Madala – චන්ද්‍ර මඬල,"චන්ද්‍ර මඬල බැද්ද වටින් මෝදු වෙලා
කළු නැන්දගෙ දුව යන්ට ගියා 
බැල්ම හෙලා   බැල්ම හෙලා 
පාළු පැලේ අඳුර පිරේ
මගෙ පැලට වරෙන් හනික සෝඩි නඟේ 
දුරුතු හඳේ සිහිල වගේ
තනි හිතට මගේ පාළු දැණෙයි නඟේ 
",Kularathna Ariyawansa,Sunil Edirisinghe,Old Pops,Rohana Weerasingha,metaphor,interpretation
Devole Nokalal – දෙවොලේ නොකැළැල්,"දෙවොලේ නොකැළැල් පිදු ආදර මල්
සුවඳින් මනකල් පිබිදෙමි හැමකල්
මලෙකින් මලකට ඇදෙමින් නොඉඳුල්
නිගා දෙවයි පෙම් ලොවටම මිහිලුන්
එක මලකින් පමණක් රොන් ගන්නම්
අන් මල් මත නොතබා උණු කඳුළැල්
පවසට ඵල නැත සයුරේ රළ වැල්
දිය දෝතක් ගමි දොලකින් සිහිලැල්
පීඩිත වී සිටිනා සඳ අඳුරේ
ඔබ පමණයි ගෙන ආවේ හසරැල්
",Sunil Ariyarathna,Sunil Edirisinghe,Old Pops,H.M.Jayawardhana,metaphor,interpretation
Chandra Mandale – චන්ද්‍ර මණ්ඩලේ,"චන්ද්‍ර මණ්ඩලේ සැතපුණ පුංචි සාවියේ
මන්ද කියාපන් නොකියා හැංගිලා ගියේ
පාන නිවුන සේ පාළුයි ලැයින් කාමරේ
මන්ද නුඹ ගියේ කියපන් පුංචි සාවියේ
ලාභ රත්තරන් දිලිසෙන පාළු වීදියේ
ගෑනු ළමයි පියාඹලා ඉස්සරත් ගියේ
උන්ට සෙයිලමේ මඟතොට පාර වැරදුණේ
අන්න ඒ නිසයි මට දුක රත්තරන් දුවේ
මාල බැඳන් සුදු යකඩෙන් රෝස මල් වනේ
මාල ගිරව් ගේ දොරකඩ සිංදු කිව් වෙලේ
හීනෙනුත් හිතුනෙ නෑ මට මොකද කාරණේ
පාර මතකනම් තාමත් ගේ ලඟයි දුවේ
",Rathna Sri Wijesinge,Sunil Edirisinghe,"Classics,Request",Rohana Weerasingha,metaphor,interpretation
Asuweda Kaurun Ho – ඇසුවේද කවුරුන්,"ඇසුවේද කවුරුන් හෝ නුඹෙන්
හැඬුවේ ඇයි ද ප්‍රේමේ නමින්
විමසා නැතිද කිසිදා ඔබත් 
කඳුලින් තුරන්වූ ප්‍රේමයක්
සතුටේ උපත කඳුලයි සදා 
හද වේදනා දෝතින් ගෙනා
පවනේ සිසිල සුසුමයි සිතේ
පෙම් ප්‍රාර්ථනා විදදා ගෙනා
පිපි මල් මතින් පියමන් කලෝ
දිනුවේද කවදා ප්‍රේමයෙන්
විදි වේදනා සතුටින් දරා
පැරදී ගියේ කවුදෝ එයින්
",Kumaradasa Saputhanthri,Sunil Edirisinghe,Classics,Rohana Weerasingha,metaphor,interpretation
Awapasa Ahasaka – අවපස අහසක,"අවපස අහසක තරු ලකුණක් සේ
අපමණ සයුරක තුරු දසුනක් සේ
දිගු දිවි ගමනේ ඉම ඔබ රැඳුණේ 
මාවත අවහිර නිමවා
දළ රළ පෙල සැතපෙනවා
සැළමුතු සෙනෙහස මඳ පවනක් වී
ගැඹරේ නිම මුමුණනවා
දෝතක අසෙනිය ගවසා
ඔබ පෙරමඟ හිනැහෙනවා
විකසිත සිහිනේ සුබ කවියක් වී
දෙනෙතේ සිත ලියැවෙනවා
",Kularathna Ariyawansa,Sunil Edirisinghe,Old Pops,Rohana Weerasingha,metaphor,interpretation
Ahasai Oba Mata – අහසයි ඔබ මට,"අහසයි ඔබ මට නිම් හිම් නොපෙනෙන 
හිනිමන් බදිනු බැරි
පොළොවයි ඔබ මට තරුවක් විලසට 
රෑකල පතිත වෙමි
ගඟේ වතුර නැ ඉහලට ගලා ගියේ
අසනි හඩින් නැ කදුබිම් සසල වුනේ
ගඟ කවදා හෝ මුවදොර හමුවෙනවා
ලොව කැළඹුන දා කදුබිම් හැකිලෙනවා
‍අනාත සයුරක වැහිදිය දෝත ඔබයි
අගාත අඳුරක දොල රන් සිළුව ඔබයි
ඔබ මට ලඟ බව ඉදුරා මම දනිමි
ඔබ වට කහවනු පවුරට මහ දුරකි
",Bandula Nanayakkarawasam,"Deepika Priyadarshani,Sunil Edirisinghe",Duets,Rohana Weerasingha,metaphor,interpretation
